'Measure Date and time','numberHoursLater,'temperatureForecast','humidityForecast','rainForecast'

18/04/2022 14:41:29,24,13.37,65,0.31
18/04/2022 14:43:18,24,14.47,79,
18/04/2022 14:43:25,24,14.47,79,
18/04/2022 14:46:47,24,14.47,79,
18/04/2022 14:46:54,24,14.47,79,
18/04/2022 14:47:01,24,14.47,79,
18/04/2022 15:00:03,24,14.55,78,
18/04/2022 15:00:36,24,14.55,78,
18/04/2022 15:00:45,24,14.55,78,
18/04/2022 15:00:54,24,14.55,78,
18/04/2022 15:01:02,24,14.55,78,
18/04/2022 15:01:11,24,14.55,78,
18/04/2022 15:01:19,24,14.55,78,
18/04/2022 15:06:00,24,14.55,78,
18/04/2022 15:09:19,24,14.55,78,
18/04/2022 15:09:27,24,14.55,78,
18/04/2022 15:09:39,24,14.55,78,
18/04/2022 15:09:57,24,14.55,78,
18/04/2022 15:10:08,24,14.55,78,
18/04/2022 15:13:47,24,14.55,78,
18/04/2022 15:13:56,24,14.55,78,
18/04/2022 15:14:03,24,14.55,78,
18/04/2022 15:14:11,24,14.55,78,
18/04/2022 15:16:30,24,14.55,78,
18/04/2022 15:16:39,24,14.55,78,
18/04/2022 15:19:51,24,14.55,78,
18/04/2022 15:19:59,24,14.55,78,
18/04/2022 15:21:35,24,14.55,78,
18/04/2022 15:21:43,24,14.55,78,
18/04/2022 15:21:53,24,14.55,78,
18/04/2022 15:22:45,24,14.55,78,
18/04/2022 15:22:53,24,14.55,78,
